"Tenure","Date","Date of Birth","Education","Employee ID","Employee Name","Event Type","Gender","isUnique","Job Family","Job Level","Monthly Compensation","Notes","Region"
0,"2011-06-16 00:00:00","1979-09-01 00:00:00","BS","ibDaYBzGZdQagLHeh6puYH","Jorge Brown","HIRED","Male","False","R&D","Entry",4216.43,"","APAC"
0,"2011-10-01 00:00:00","1984-02-21 00:00:00","BS","VYQTqxFPBAUCh3Vz7SwgNS","Steven Moore","HIRED","Male","False","Quality","Entry",4165.14,"","APAC"
0,"2011-11-05 00:00:00","1977-04-04 00:00:00","PHD","Nup9wpyDegbbfYm9QjVv2Z","James Wildey","HIRED","Male","False","Doc & Training","Entry",2884.69,"","APAC"
0,"2011-11-10 00:00:00","1983-05-19 00:00:00","PHD","tYyP2mHoHtvmXy3oDrJboD","Michele Overcash","HIRED","Female","False","R&D","Entry",4133.69,"","APAC"
0,"2012-02-12 00:00:00","1983-11-06 00:00:00","PHD","k5fbwb5HVJtETxLNqAwJkK","Heather Preciado","HIRED","Female","False","R&D","Manager",5265.25,"","APAC"
0,"2012-02-15 00:00:00","1981-12-12 00:00:00","MS","vAWtsi9dM6oJK5ptwfrKnB","Johnny Rogers","HIRED","Male","False","Quality","Entry",4121.28,"","APAC"
0,"2012-05-24 00:00:00","1978-05-20 00:00:00","BS","oRhYQshiy6aNGAGYrxz57M","Betty Ennis","HIRED","Female","False","R&D","Senior",4670.75,"","APAC"
0,"2012-06-05 00:00:00","1980-11-05 00:00:00","BS","uKGTdQnmSWCXNTiPkWPsjj","Gracie Marshall","HIRED","Female","False","R&D","Manager",5346.36,"","APAC"
0,"2012-06-08 00:00:00","1980-11-24 00:00:00","MS","YZCcU8bwmtCtNCrJN28aEa","David Trevino","HIRED","Male","False","Engineering","Manager",3440.43,"","APAC"
0,"2012-07-01 00:00:00","1980-10-09 00:00:00","MS","ownT8nFpyjhLLKjX8hmQXE","Paulina Meredith","HIRED","Female","False","Acct Mgmt","Senior",3616.99,"","APAC"
0,"2012-07-19 00:00:00","1980-11-29 00:00:00","MS","a8CQN3uyXmVfamnbK4a9Rc","Suk Alvarez","HIRED","Female","False","R&D","Entry",4220.48,"","APAC"
0,"2012-07-25 00:00:00","1978-09-30 00:00:00","MS","2MjgwkjoqeUwez3gJhQLQR","Mae Bailey","HIRED","Female","False","R&D","Senior",4616.28,"","APAC"
0,"2012-07-28 00:00:00","1987-11-12 00:00:00","PHD","tByCJKixHHmMFLW6ZrptHj","Cindy Patterson","HIRED","Female","False","Acct Mgmt","Senior",3615.96,"","APAC"
0,"2012-08-24 00:00:00","1983-03-03 00:00:00","MS","Wvd8xewu6BCsw9EkTj8Nth","Tonya Hall","HIRED","Female","False","Support","Entry",2752.95,"","APAC"
0,"2012-08-30 00:00:00","1979-04-14 00:00:00","MS","M4i2ouMCKPGVvjLaehYtzL","Tamala Rodriguez","HIRED","Female","False","R&D","Manager",5246.16,"","APAC"
0,"2012-10-03 00:00:00","1980-12-11 00:00:00","BS","if6cwtWp9y2ptQbCh6EF9Q","Jacob Mcgrath","HIRED","Male","False","Advertising","Senior",3177.48,"","APAC"
0,"2012-10-11 00:00:00","1977-04-20 00:00:00","BS","4AR87NtXhfNZqbqut3kfjG","Kimber Leblanc","HIRED","Female","False","Quality","Entry",4252.41,"","APAC"
0,"2012-10-12 00:00:00","1982-12-27 00:00:00","PHD","mbtLa8dgVZkgYDCpUwXxLJ","Cherish Michels","HIRED","Female","False","R&D","Senior",4606.35,"","APAC"
0,"2012-11-01 00:00:00","1979-08-16 00:00:00","BS","XzvtRZnR7XrmZhg9YyxLe8","Lee Hickman","HIRED","Male","False","R&D","Entry",4297.89,"","APAC"
0,"2012-12-13 00:00:00","1976-07-30 00:00:00","BS","TuAs67RT2DP9eEDa9SoiqM","Della Cason","HIRED","Female","False","Quality","Entry",4230.57,"","APAC"
0,"2012-12-17 00:00:00","1985-09-30 00:00:00","PHD","N2AEjmD36ubqVFnu8ekvUG","Dana Ocheltree","HIRED","Female","False","R&D","Senior",4804.02,"","APAC"
0,"2013-01-04 00:00:00","1978-06-12 00:00:00","MS","8HxPUgRHEdWioUC96LAGrk","Annette Johnson","HIRED","Female","False","R&D","Manager",5263.29,"","APAC"
0,"2013-01-07 00:00:00","1979-04-17 00:00:00","BS","J2cwUnEjeEX3VNAQ7NAtck","Richard Riecke","HIRED","Male","False","Acct Mgmt","Senior",3564.86,"","APAC"
0,"2013-01-19 00:00:00","1980-09-15 00:00:00","BS","ArTHtf9cKeG4M6mAHMw4PP","Raul Oniel","HIRED","Male","False","Engineering","Entry",2696.8,"","APAC"
0,"2013-01-24 00:00:00","1977-06-02 00:00:00","BS","FU7cKaXTVSeCNtUDtSG9AB","Jacqueline Beaty","HIRED","Female","False","R&D","Manager",5221.52,"","APAC"
0,"2013-01-24 00:00:00","1979-05-12 00:00:00","BS","9edAm6YPMswAnkyNvM3rvZ","John Rhim","HIRED","Male","False","Human Resources","Manager",7697.83,"","APAC"
0,"2013-01-25 00:00:00","1979-03-29 00:00:00","BS","GqPiTjDod2mcPMfYFmEC3g","Marta Edminster","HIRED","Female","False","Product Management","Senior",3134.33,"","APAC"
0,"2013-01-28 00:00:00","1982-09-24 00:00:00","BS","ZPSknPbCYETMLRKrU5qatD","Lydia Gonzalez","HIRED","Female","False","Engineering","Entry",2711.4,"","APAC"
0,"2013-02-28 00:00:00","1975-08-17 00:00:00","BS","GfqxbCLKuRBhqwKGCUJPtc","Eddie Fuentes","HIRED","Male","False","R&D","Manager",5283.45,"","APAC"
0,"2013-03-18 00:00:00","1979-10-04 00:00:00","BS","j3FgF7y9sU5yoMSBgt3zG7","Joel Cook","HIRED","Male","False","R&D","Entry",4293.48,"","APAC"
0,"2013-03-22 00:00:00","1981-05-27 00:00:00","BS","R8y6GYqTzSB6EhtNwNcAYJ","Laura Morris","HIRED","Female","False","Acct Mgmt","VP & above",4472.75,"","APAC"
0,"2013-03-28 00:00:00","1981-03-05 00:00:00","BS","MFZp6t4RGxQkoBW4AETdtd","Jessica Porter","HIRED","Female","False","R&D","Entry",4306.08,"","APAC"
0,"2013-05-04 00:00:00","1981-12-02 00:00:00","PHD","DQKJMZtpt7j89nwn5RJC2L","Kim Mcdowell","HIRED","Female","False","Quality","Senior",4763.17,"","APAC"
0,"2013-05-24 00:00:00","1980-06-17 00:00:00","BS","fx5wdGBvqetrLL2hJFkryg","Scott Noreen","HIRED","Male","False","R&D","Entry",4277.86,"","APAC"
0,"2013-05-25 00:00:00","1981-09-17 00:00:00","BS","NdtHStdfyrwEmM5hcg84Fm","David Scantling","HIRED","Male","False","R&D","Entry",4096,"","APAC"
0,"2013-06-02 00:00:00","1985-06-10 00:00:00","BS","Ch6HghYW7ZkeAMjnXofawK","Aida Scott","HIRED","Female","False","R&D","Manager",5306.34,"","APAC"
0,"2013-06-15 00:00:00","1978-01-04 00:00:00","MS","L3n6pEBTV2o8eqhaWGD7xd","Nicole Kueny","HIRED","Female","False","R&D","Manager",5333.84,"","APAC"
0,"2013-06-27 00:00:00","1981-06-23 00:00:00","PHD","3tbw9dSFne49jmMJcsuEg6","Margery Rodriguez","HIRED","Female","False","R&D","Senior",4871.83,"","APAC"
0,"2013-07-05 00:00:00","1979-08-29 00:00:00","BS","uWTf5xdDcKcCMKW7dekWmg","Louise Nunez","HIRED","Female","False","Quality","Entry",4156.66,"","APAC"
0,"2013-07-19 00:00:00","1984-04-15 00:00:00","BS","AVA39kPYpCADc37PSFQ4Bi","Marilyn Russell","HIRED","Female","False","Product Management","Entry",2889.94,"","APAC"
0,"2013-08-01 00:00:00","1971-06-02 00:00:00","BS","jWsR3Hj7sfi87dbJXw7uQ2","Margaret Schutt","HIRED","Female","False","Doc & Training","Entry",2861.88,"","APAC"
0,"2013-08-04 00:00:00","1980-07-17 00:00:00","PHD","rhjQmTqrPP8Ax4SanQDqS7","Graciela Clark","HIRED","Female","False","R&D","Manager",5508.91,"","APAC"
0,"2013-08-16 00:00:00","1979-05-17 00:00:00","BS","qKceS4UUTtq3gNTGMj5Ea2","Lenore Khim","HIRED","Female","False","Human Resources","Manager",7544.83,"","APAC"
0,"2013-08-23 00:00:00","1980-06-24 00:00:00","MS","DE59McPdeJif9VRGKkTtHE","Mireya Carlton","HIRED","Female","False","Engineering","Entry",2695.48,"","APAC"
0,"2013-08-23 00:00:00","1984-05-09 00:00:00","MS","RjuFjWb8pkREskbzJ82mNA","Dorothy Fuller","HIRED","Female","False","R&D","Manager",5173.81,"","APAC"
0,"2013-08-30 00:00:00","1981-09-15 00:00:00","BS","8bsMjXy79Nrk7eYXuT2P2k","Matthew Sayers","HIRED","Male","False","R&D","Entry",4212.84,"","APAC"
0,"2013-09-13 00:00:00","1980-06-29 00:00:00","BS","8BHntKSRc6YKzfAcdLBUbU","Shannon Clifton","HIRED","Female","False","Acct Mgmt","Senior",3483.51,"","APAC"
0,"2013-09-16 00:00:00","1982-08-31 00:00:00","BS","aev45DWkKMxr8kz3997HmF","Stephanie Wright","HIRED","Female","False","Advertising","Senior",3290.67,"","APAC"
0,"2013-09-24 00:00:00","1979-09-11 00:00:00","PHD","65sUDtn7zAVpgwV2Q5AdZV","Benjamin Rossi","HIRED","Male","False","Quality","Entry",4241.76,"","APAC"
0,"2013-09-28 00:00:00","1982-06-28 00:00:00","BS","bFQFxEBPzDJjp9C8EC3bme","Cheryl Hildebrand","HIRED","Female","False","Quality","Senior",4771.17,"","APAC"
0,"2013-10-06 00:00:00","1982-08-14 00:00:00","MS","dToKhMGiJo6TK33obvywiT","Eleanor Vick","HIRED","Female","False","Product Management","Senior",3122.74,"","APAC"
0,"2013-10-21 00:00:00","1979-01-10 00:00:00","BS","Fqw8vDBM9fJbS5zpFpZiWX","Ronald Caban","HIRED","Male","False","Acct Mgmt","Senior",3714.97,"","APAC"
0,"2013-10-22 00:00:00","1979-06-10 00:00:00","PHD","n2zMJRzCVnpuJ8xshVimvX","William Chavez","HIRED","Male","False","Acct Mgmt","VP & above",4624.38,"","APAC"
0,"2013-12-02 00:00:00","1976-10-15 00:00:00","PHD","ULjAnrzTjgBjiWXcTZAvh6","Charles Faulkner","HIRED","Male","False","R&D","Senior",4760.02,"","APAC"
0,"2013-12-12 00:00:00","1977-09-20 00:00:00","BS","uoYWXXc4PLH8bVLAzBkkK4","Kathleen Rudd","HIRED","Female","False","R&D","Senior",4642.66,"","APAC"
0,"2013-12-19 00:00:00","1983-12-31 00:00:00","BS","6sNzqCjDAX8qXwZzPFoXj8","Robert Poling","HIRED","Male","False","Acct Mgmt","Manager",4122.35,"","APAC"
0,"2013-12-23 00:00:00","1983-01-04 00:00:00","MS","eHpuPVZwHJZnrckm8EWsqZ","Scott Oliverio","HIRED","Male","False","R&D","Manager",5231.62,"","APAC"
0,"2013-12-29 00:00:00","1981-08-19 00:00:00","BS","5TfsskTL6T4ZESnwx9pn4b","Molly Treaster","HIRED","Female","False","R&D","Entry",4255.33,"","APAC"
0,"2013-12-30 00:00:00","1984-05-24 00:00:00","BS","tg3n3HZGkSs7StgoEBVYL2","Lynn Yu","HIRED","Female","False","Acct Mgmt","Senior",3506.21,"","APAC"
0,"2014-01-04 00:00:00","1982-03-01 00:00:00","PHD","tfo46BrsQ9yTLHPzwDkFC6","Mary Leveille","HIRED","Female","False","R&D","VP & above",5703.33,"","APAC"
0,"2014-01-05 00:00:00","1979-01-21 00:00:00","BS","ccNtxqL7EEvgusVDs6FLc8","Robert Vail","HIRED","Male","False","Quality","Senior",4734.43,"","APAC"
0,"2014-01-18 00:00:00","1979-01-21 00:00:00","BS","ccNtxqL7EEvgusVDs6FLc8","Robert Vail","UPDATED","Male","False","R&D","Manager",5175.01,"","APAC"
0,"2014-01-29 00:00:00","1982-05-22 00:00:00","BS","6msaFxdAgjCvBeXuqxQyYB","Evelyn Nielsen","HIRED","Female","False","R&D","Entry",4138.48,"","APAC"
0,"2014-02-03 00:00:00","1980-08-20 00:00:00","BS","mBfGvyAKDNHXTHuxMKyEsU","Ruth Nolan","HIRED","Female","False","Acct Mgmt","Senior",3689.57,"","APAC"
0,"2014-02-15 00:00:00","1979-12-14 00:00:00","BS","XsMYSXPiNL2ooMoUnAG4Rg","Angela Guidice","HIRED","Female","False","R&D","Manager",5436.41,"","APAC"
0,"2014-02-19 00:00:00","1982-02-04 00:00:00","MS","cnG2ydAtXctUdgghyY73TS","Tonya Rodriguez","HIRED","Female","False","Acct Mgmt","Manager",4127.84,"","APAC"
0,"2014-03-05 00:00:00","1978-03-30 00:00:00","MS","bFht5c85qbcDXyqdKAURj9","Terrence Dumar","HIRED","Male","False","Quality","Senior",4693.84,"","APAC"
0,"2014-03-29 00:00:00","1980-03-28 00:00:00","BS","kjSYHozEJWybGGW3SFzgwH","Gerry Williams","HIRED","Female","False","R&D","Entry",4229.17,"","APAC"
0,"2014-04-19 00:00:00","1982-11-15 00:00:00","PHD","XaKH5im3vDi3A3NqJByp9P","Evie Hopton","HIRED","Female","False","R&D","Entry",4132.94,"","APAC"
0,"2014-05-02 00:00:00","1984-05-14 00:00:00","BS","7QDFcmPU4YspXoGjDCfkwK","Jeffrey Mcree","HIRED","Male","False","Support","Senior",3053.88,"","APAC"
0,"2014-05-03 00:00:00","1975-08-07 00:00:00","BS","BsezCqGsDQVZZM8Br58v3E","Madeleine Tuohy","HIRED","Female","False","Support","Entry",2722.2,"","APAC"
0,"2014-05-16 00:00:00","1984-03-21 00:00:00","BS","6kH8BXVuSoHd2sV672MDrC","Darnell Jackson","HIRED","Male","False","Quality","Entry",4256.71,"","APAC"
0,"2014-05-31 00:00:00","1984-07-11 00:00:00","BS","fjAYum6ygTo8R2idUPPw4A","Katharine Castille","HIRED","Female","False","Support","Entry",2733.75,"","APAC"
0,"2014-06-02 00:00:00","1978-02-11 00:00:00","BS","MMpCVe7ktsFgJgiCT4WGLF","Gertrude Chipman","HIRED","Female","False","Support","Senior",3085.22,"","APAC"
0,"2014-06-06 00:00:00","1977-05-29 00:00:00","MS","2qRCRtR4rsWvqEojRoXzci","Elizabeth Gulotta","HIRED","Female","False","Acct Mgmt","VP & above",4509.41,"","APAC"
0,"2014-06-08 00:00:00","1981-01-29 00:00:00","PHD","ukmFRUUdwixCEUmPxgKo8B","Edward Brock","HIRED","Male","False","R&D","Senior",4729.26,"","APAC"
0,"2014-06-10 00:00:00","1982-11-06 00:00:00","MS","3CmCJazGfFQGFg85AHPTX6","Leola Shierling","HIRED","Female","False","R&D","Senior",4617.88,"","APAC"
0,"2014-06-20 00:00:00","1982-09-16 00:00:00","MS","rwdfPbhi2uzpvnsNukMA9Z","Kevin Baron","HIRED","Male","False","Quality","Senior",4654.3,"","APAC"
0,"2014-06-23 00:00:00","1976-05-24 00:00:00","PHD","w8MmKUpqRdETULoAZAmaoJ","Brian Wood","HIRED","Male","False","Executive Team","VP & above",8214.81,"","APAC"
0,"2014-07-01 00:00:00","1979-06-21 00:00:00","MS","owv2cuJVwijjAmFfkQoyJ6","Becky Turner","HIRED","Female","False","R&D","Entry",4204.62,"","APAC"
0,"2014-07-11 00:00:00","1980-01-06 00:00:00","BS","JRTVqdTc6wRXgav9LaF8Fd","Dana Carrasco","HIRED","Female","False","R&D","Entry",4218.46,"","APAC"
0,"2014-07-17 00:00:00","1983-02-26 00:00:00","BS","wSLTbzPAWwTpNAJgpeztLA","Donald Chynoweth","HIRED","Male","False","R&D","Entry",4229.67,"","APAC"
0,"2014-07-25 00:00:00","1981-03-20 00:00:00","MS","zMNKuuLvmhT3W4pjL8ddfU","Joe Martin","HIRED","Female","False","R&D","Manager",5281.79,"","APAC"
0,"2014-08-03 00:00:00","1978-11-24 00:00:00","BS","kQKgXAhgksR5D2uZGCSXB2","Stacy Brunk","HIRED","Female","False","Acct Mgmt","Senior",3435.15,"","APAC"
0,"2014-08-07 00:00:00","1980-11-01 00:00:00","BS","jZ8TgvHhfSS8MzZw5UveaB","Rebecca Vernon","HIRED","Female","False","Acct Mgmt","Senior",3600.18,"","APAC"
0,"2014-08-10 00:00:00","1980-11-20 00:00:00","MS","girDRs2TKvaoeF85HpAo5h","Marc Crespo","HIRED","Male","False","Acct Mgmt","Manager",4276.29,"","APAC"
0,"2014-08-10 00:00:00","1983-06-23 00:00:00","BS","88RtwCbCNLL6RjocBSUmwB","William Stone","HIRED","Male","False","R&D","Senior",4635.56,"","APAC"
0,"2014-08-19 00:00:00","1983-09-10 00:00:00","PHD","Pcz4RF4cBCTzgVR5VFkDT4","Wendy Peery","HIRED","Female","False","R&D","Entry",4231.01,"","APAC"
0,"2014-08-31 00:00:00","1982-07-24 00:00:00","MS","qPvKR7PpV6eRhjwhTEoV48","Shauna Phillips","HIRED","Female","False","Acct Mgmt","Senior",3619.59,"","APAC"
0,"2014-09-17 00:00:00","1978-03-06 00:00:00","BS","ja6Dsko7kvx32Y9VTQcejE","Jayson Williams","HIRED","Male","False","Acct Mgmt","Senior",3583.93,"","APAC"
0,"2014-10-05 00:00:00","1976-09-12 00:00:00","BS","zC2qgfUQfGffgFKjwgxguZ","Lydia Nett","HIRED","Female","False","Acct Mgmt","Senior",3671.47,"","APAC"
0,"2014-10-09 00:00:00","1975-07-29 00:00:00","BS","xDLiLCZN588eFyrFdpm4DW","Deborah Schmidt","HIRED","Female","False","R&D","Manager",5273.56,"","APAC"
0,"2014-10-10 00:00:00","1982-06-14 00:00:00","BS","K6b8nksPXg72jegFLQAYZh","Ellen Hilbert","HIRED","Female","False","Advertising","Senior",3140.78,"","APAC"
0,"2014-10-12 00:00:00","1981-12-11 00:00:00","MS","nXS8GoxvBCfzzvG8AbQmFZ","Amber Bradshaw","HIRED","Female","False","Quality","Senior",4759.46,"","APAC"
0,"2014-11-09 00:00:00","1988-04-22 00:00:00","MS","xak5y7Z558xy48mTPggr9E","Virginia Wilson","HIRED","Female","False","R&D","Entry",4233.91,"","APAC"
0,"2014-11-17 00:00:00","1988-04-22 00:00:00","MS","xak5y7Z558xy48mTPggr9E","Virginia Wilson","UPDATED","Female","False","Acct Mgmt","Senior",4233.91,"","APAC"
0,"2014-11-19 00:00:00","1978-04-27 00:00:00","MS","dWLiXnkJwbAyywVwsxcFsf","Dennis Heath","HIRED","Male","False","R&D","Manager",5370.21,"","APAC"
0,"2014-12-04 00:00:00","1983-05-06 00:00:00","MS","T2L5QqQjydxAJkYknMLXCM","Corinne Waller","HIRED","Female","False","R&D","Senior",4616.44,"","APAC"
0,"2014-12-12 00:00:00","1983-03-26 00:00:00","MS","2ThV2tHLE75GKibmoQGq4g","Melissa Sale","HIRED","Female","False","R&D","Entry",4255.68,"","APAC"
0,"2014-12-13 00:00:00","1975-02-14 00:00:00","BS","U6T9XfpHYJueiEoYCiKZRQ","Jenny Allen","HIRED","Female","False","Acct Mgmt","Senior",3562.92,"","APAC"
0,"2014-12-14 00:00:00","1981-07-19 00:00:00","BS","zTfDtp3vUwSFGeykMWmpXG","Rosie Forte","HIRED","Female","False","R&D","Entry",4318.94,"","APAC"
0,"2014-12-16 00:00:00","1975-04-03 00:00:00","MS","tmqVm5iw2i8PiLtwYp9oTK","Bessie Roberts","HIRED","Female","False","Acct Mgmt","Senior",3498.45,"","APAC"
0,"2014-12-17 00:00:00","1978-06-02 00:00:00","MS","SxjLYSm2fvd3rDgjC2NB9D","Rachel Chappell","HIRED","Female","False","Advertising","Manager",3464.29,"","APAC"
0,"2014-12-22 00:00:00","1983-09-29 00:00:00","MS","22ZMfh8Y4XCkLVeKtmRAGk","Theresa Mullins","HIRED","Female","False","Acct Mgmt","Manager",4110.71,"","APAC"
0,"2014-12-25 00:00:00","1980-08-13 00:00:00","BS","nRXnb3gzoMBvisL488YBKf","Linda Boyd","HIRED","Female","False","Acct Mgmt","Senior",3476.63,"","APAC"
0,"2014-12-27 00:00:00","1984-01-06 00:00:00","PHD","Z2DbgXAkA45yz2GN9bbD6h","Daniel Boll","HIRED","Male","False","Engineering","Entry",2716.22,"","APAC"
0,"2014-12-29 00:00:00","1977-09-08 00:00:00","MS","keQKELWYZzpKNymJGFZ2EF","Gertrude Palacios","HIRED","Female","False","Quality","Entry",4218.23,"","APAC"
0,"2014-12-31 00:00:00","1981-07-03 00:00:00","MS","pknWK5L2QPq9FxXoRzLP8Q","Terry Mills","HIRED","Male","False","R&D","Manager",5394.68,"","APAC"
0,"2015-01-05 00:00:00","1979-10-26 00:00:00","MS","vG7cbuNQenVP7oDkWzxFae","Sharon Lowe","HIRED","Female","False","Quality","Entry",4361.92,"","APAC"
0,"2015-01-05 00:00:00","1986-09-07 00:00:00","BS","rCtQHz9zmWivqNNfdLT2QY","Thelma Jones","HIRED","Female","False","Quality","Entry",4166.66,"","APAC"
0,"2015-01-10 00:00:00","1979-02-14 00:00:00","BS","CgQwwM5inKRjHdho7a5VTn","Albert Rickman","HIRED","Male","False","R&D","Manager",5207.58,"","APAC"
0,"2015-01-14 00:00:00","1979-11-04 00:00:00","BS","tFAPGovggSA87QFXvj87Be","Beth Stokes","HIRED","Female","False","Support","Senior",3094.61,"","APAC"
0,"2015-01-15 00:00:00","1980-10-05 00:00:00","BS","hrmVoM2Mbyq9kPGAeXKcQe","Winnie Rankins","HIRED","Female","False","Acct Mgmt","Senior",3845.55,"","APAC"
0,"2015-01-15 00:00:00","1981-12-11 00:00:00","BS","nhbiJZ2mGp9BzprXB9qYAa","Francisco Essig","HIRED","Male","False","R&D","Entry",4178.36,"","APAC"
0,"2015-01-17 00:00:00","1981-07-30 00:00:00","MS","9ZUEs2PtGgAvMZEKEEiDTG","Jean Boudreaux","HIRED","Female","False","Quality","Entry",4161.3,"","APAC"
0,"2015-01-18 00:00:00","1979-06-21 00:00:00","PHD","TDAr6cfyh3CTyayN4CDUR5","Michael Simonson","HIRED","Male","False","R&D","Senior",4556.39,"","APAC"
0,"2015-01-20 00:00:00","1977-09-08 00:00:00","MS","keQKELWYZzpKNymJGFZ2EF","Gertrude Palacios","UPDATED","Female","False","R&D","VP & above",4599.1,"","APAC"
0,"2015-01-28 00:00:00","1981-02-06 00:00:00","BS","j26oNGpnPWhRtHHY8shYSF","Ramon Utecht","HIRED","Male","False","Engineering","Manager",3271.14,"","APAC"
0,"2015-02-10 00:00:00","1977-03-10 00:00:00","BS","5sMxENAFbDSQJEQuHaJzk3","Aaron Hobgood","HIRED","Male","False","Acct Mgmt","VP & above",4514.64,"","APAC"
0,"2015-02-14 00:00:00","1982-06-23 00:00:00","BS","KubS2tFsXCT9EwSvEkDum5","Elizabeth Cannaday","HIRED","Female","False","Acct Mgmt","VP & above",4482.83,"","APAC"
0,"2015-02-19 00:00:00","1976-08-20 00:00:00","BS","7iruCqtbKuMkeFa78h8egM","Ashley Vela","HIRED","Female","False","R&D","Entry",4273.42,"","APAC"
0,"2015-02-25 00:00:00","1983-07-30 00:00:00","BS","A3B4MXHnBhDcFwfC3yKLBW","Angelina Bass","HIRED","Female","False","Acct Mgmt","Senior",3527.98,"","APAC"
0,"2015-02-27 00:00:00","1981-03-23 00:00:00","BS","6yVp5BqKyL5BoBAzL55o3S","Yanira Ingram","HIRED","Female","False","Acct Mgmt","Senior",3661.62,"","APAC"
0,"2015-03-21 00:00:00","1984-06-03 00:00:00","PHD","LfSBPVa3ngLTFwVq4ss2NV","Jennifer Harris","HIRED","Female","False","Support","Senior",3012.09,"","APAC"
0,"2015-03-22 00:00:00","1981-07-04 00:00:00","BS","P5qpia39qa5uYAk9jMxPe6","Stacey Selkirk","HIRED","Female","False","R&D","Entry",4178.52,"","APAC"
0,"2015-03-27 00:00:00","1978-12-18 00:00:00","BS","XC45CVfVvpouYFmWYYNeCe","Carmelita Cole","HIRED","Female","False","R&D","VP & above",5731.39,"","APAC"
0,"2015-03-28 00:00:00","1982-01-22 00:00:00","MS","yFSJnjMPavVt3q36vr9xUP","Helen Carlson","HIRED","Female","False","R&D","Entry",4265.61,"","APAC"
0,"2015-04-02 00:00:00","1976-02-10 00:00:00","MS","K4zNuugFEdeFNZfJLGWLMC","Nicole Ramos","HIRED","Female","False","R&D","Entry",4193.1,"","APAC"
0,"2015-04-11 00:00:00","1979-02-03 00:00:00","MS","iibNviomKK4uAw9StfgPvY","Kevin Hendrick","HIRED","Male","False","Quality","Entry",4168.12,"","APAC"
0,"2015-04-13 00:00:00","1983-02-28 00:00:00","MS","XLy8YH5gE9XbhscHLfhX2k","Mary Hunter","HIRED","Female","False","Engineering","Entry",2736.35,"","APAC"
0,"2015-04-17 00:00:00","1982-01-03 00:00:00","BS","kK38ffJ6T7YhHvGkxMS4ZM","Harriet Anderson","HIRED","Female","False","R&D","Entry",4352.05,"","APAC"
